プロットコード,サイトプロットコード,調査サイトID,プロットID,森林タイプa,調査サイト名,サイト名（英語）,プロット名,JaLTERサイトb,森林動態データベースb,ERデータペーパーb,サイトタイプ,経度c,緯度c,標高 (m),年平均気温(℃)d,気象観測地点,都道府県,面積(ha),形状（m）,調査年度e,冬季設置状況f,代表者g,備考
1,203601,SD,SD-EB1,EB,佐田山,Sadayama,,,,E,準コア,133,32.74,320,17,アメダス・気象観測所（清水),高知県,0.98*,100×100（一部除外）,-,-,倉本恵生（森林総合研究所）,
1,204901,SI,SI-DB1,DB,椎葉,Shiiba,,J,,E,準コア,131.1,32.38,1190,10.5,アメダス・気象観測所（西米良),宮崎県,1,100×100,-,-,榎木勉（九州大学）,
1,200901,AY,AY-EB1,EB,綾,Aya,,J,F,E,コア,131.19,32.05,490,14.6,アメダス・気象観測所（西都),宮崎県,1,100×100,2004-2016,通年回収,安部哲人（森林総合研究所）,
1,201001,TN,TN-EB1,EB,田野,Tano,田野二次林,J,,E,コア,131.3,31.86,175,17,アメダス・気象観測所（宮崎),宮崎県,1,100×100,2004-2016,通年回収,高木正博（宮崎大学）,**
2,201002,TN,TN-EB2,EB,田野,Tano,田野海岸林,,,,コア,131.26,31.38,26,17.7,アメダス・気象観測所（串間),宮崎県,NA,NA,-,-,高木正博（宮崎大学）,
1,203001,YK,YK-EB1,EB,屋久島照葉樹林,Yakushima-shoyojyurin,,,F,E,準コア,130.39,30.37,150,20.1,アメダス・気象観測所（尾之間),鹿児島県,1,100×100,-,-,齊藤　哲（森林総合研究所）,
1,203701,YS,YS-EC1,EC,屋久島スギ林,Yakushima-sugirin,,,F,,準コア,130.57,30.31,1200,13.4,アメダス・気象観測所（屋久島),鹿児島県,1,100×100,-,-,高嶋敦史（琉球大学）,
1,202301,AM,AM-EB1,EB,奄美,Amami,,,,E,準コア,129.45,28.33,330,20.1,アメダス・気象観測所（名瀬),鹿児島県,1,100×100,2005-2016,通年回収,石田健（東京大学）,** 2005-2008年種子データ欠損多数
1,201101,YN,YN-EB1,EB,与那,Yona,,J,,E,コア,128.23,26.74,250,21,アメダス・気象観測所（奥),沖縄県,1,100×100,2004-2016,通年回収,高嶋敦史（琉球大学）,**;2015-2016年公開保留
1,202401,OW,OW-EB1,EB,小笠原石門,Ogasawara-sekimon,,,,E,準コア,142.16,26.68,290,21.9,アメダス・気象観測所（父島),東京都,1,100×100,-,-,安部哲人（森林総合研究所）,
1,204801,IR,IR-EB1(仮),EB（仮）,西表,Iriomote,,,,,準コア,123.9,24.35,140,23.6,アメダス・気象観測所（大原),沖縄県,1,100×100,-,-,久保田康裕（琉球大学）,
