#/log,DATA CREATED,データ作成日,20180320 ,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,榎木　勉,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kasuya (KJ-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,糟屋(糟屋陣場),,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KJ-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,20120111,2011年データの追加,,,,,,,,,,,,,,,,
#,,A384 A529 B52 gbh測定間違いの可能性あり -> gbh06をndに,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,,2006年データのコマユミは全てツリバナに修正,,,,,,,,,,,,,,,,
#,,2008年にも測定を行なっており、新規個体のうち基準以下のサイズでも2008年の記録をもとにエラー扱いとしたものもある,,,,,,,,,,,,,,,,
#,20170803,データ確認（日野）,,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","新規タグ","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
20,0,"C120","C120",1.6,6.2,"ヤブニッケイ",103.2,105.9,119.8,"","","裂け・半枯・タグ付替(元A52)",20060425,20111110,20161111,"2006_A52","2006_A52","C120",0,0,0,0,0,0,0,0,0
20,0,"A53","A53",1.6,9,"アカガシ",223.5,229.2,234.1,"","","",20060425,20111110,20161111,"2006_A53","2006_A53","",0,0,0,0,0,0,0,0,0
20,0,"C119","C119",7.7,6.3,"ヤブニッケイ",NA,NA,15.6,"","","",NA,NA,20161111,"","","",0,0,0,-1,-1,-1,0,0,0
30,0,"B466","B466",0.1,3.5,"クロキ",50.5,52.1,52.4,"","ラベル落ち（元A54)，B466と同株","",20060425,20111110,20161111,"2006_A54","2006_A54","",0,0,0,0,0,0,0,0,0
30,0,"A55","B466",0.1,3.5,"クロキ",83.5,86.5,88.5,"","B466と同株（元個体タグA54）","",20060425,20111110,20161111,"2006_A55","2006_A54","",0,0,0,0,0,0,0,0,0
30,0,"A56","A56",1,3.4,"ウラジロガシ",109.5,112.2,114.8,"","","",20060425,20111110,20161111,"2006_A56","2006_A56","",0,0,0,0,0,0,0,0,0
30,0,"A57","A57",1.1,5.5,"イヌシデ",88.4,88.7,88.5,"","","",20060425,20111110,20161111,"2006_A57","2006_A57","",0,0,0,0,0,0,0,0,0
30,0,"A58","A58",3,5.2,"ミズキ",96.1,102.8,115.5,"","","",20060425,20111110,20161111,"2006_A58","2006_A58","",0,0,0,0,0,0,0,0,0
30,0,"C112","C112",2.5,6.2,"ヤブツバキ",18.8,20.7,21.9,"","","タグ付替(元A59)",20060425,20111110,20161111,"2006_A59","2006_A59","C112",0,0,0,0,0,0,0,0,0
30,0,"A60","A60",3.2,8.9,"イヌシデ",93.6,94,93.3,"","","",20060425,20111110,20161111,"2006_A60","2006_A60","",0,0,0,0,0,0,0,0,0
30,0,"A61","A61",5.3,7.1,"イヌシデ",136.5,139.3,141.9,"","","",20060425,20111110,20161111,"2006_A61","2006_A61","",0,0,0,0,0,0,0,0,0
30,0,"A62","A62",5.5,6.2,"ヤブツバキ",24.9,24.5,25,"","","",20060425,20111110,20161111,"2006_A62","2006_A62","",0,0,0,0,0,0,0,0,0
30,0,"A63","A63",4.2,5.7,"ヤブニッケイ",16.5,18.4,18.8,"","","",20060425,20111110,20161111,"2006_A63","2006_A63","",0,0,0,0,0,0,0,0,0
30,0,"A64","A64",4.4,2.2,"イヌシデ",95,96.8,NA,"","","折・枯",20060425,20111110,20161111,"2006_A64","2006_A64","",0,0,1,0,0,0,0,0,0
30,0,"A65","A65",7.5,2.9,"ネズミモチ",17.1,17.3,17.1,"","","",20060425,20111110,20161111,"2006_A65","2006_A65","",0,0,0,0,0,0,0,0,0
30,0,"A66","A66",7.4,2.7,"ヤブツバキ",35.5,38,40.9,"","A66と同株","",20060425,20111110,20161111,"2006_A66","2006_A66","",0,0,0,0,0,0,0,0,0
30,0,"C111","A66",7.4,2.7,"ヤブツバキ",35.2,36.8,38,"","ラベル落ち(元A67），A66と同株","タグ付替(元B467)",20060425,20111110,20161111,"2006_A67","2006_A66","C111",0,0,0,0,0,0,0,0,0
30,0,"A68","A68",9,1,"ノグルミ",134.3,140.9,144,"","","ツル抜計測",20060425,20111110,20161111,"2006_A68","2006_A68","",0,0,0,0,0,0,0,0,2
30,0,"A69","A69",9.5,2.2,"ネズミモチ",18.9,18.9,18.9,"","","",20060425,20111110,20161111,"2006_A69","2006_A69","",0,0,0,0,0,0,0,0,0
30,0,"C108","C108",8.8,6.8,"シロダモ",41.8,41.8,42,"","","タグ付替(元A70)",20060425,20111110,20161111,"2006_A70","2006_A70","C108",0,0,0,0,0,0,0,0,0
30,0,"C106","C106",8.8,7.5,"イスノキ",58.8,64.4,66.6,"","A71と同株","タグ付替(元A71)",20060425,20111110,20161111,"2006_A71","2006_A71","C106",0,0,0,0,0,0,0,0,0
30,0,"C107","C106",8.8,7.5,"イスノキ",29.3,30,29.8,"","A71と同株","タグ付替(元A72)",20060425,20111110,20161111,"2006_A72","2006_A71","C107",0,0,0,0,0,0,0,0,0
30,0,"A73","A73",8.8,9,"ネズミモチ",28.7,28.7,28.6,"","","",20060425,20111110,20161111,"2006_A73","2006_A73","",0,0,0,0,0,0,0,0,0
