#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ontake-nigorigo (NG-EC1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,御岳濁河(亜高山帯常緑針葉樹林),,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NG-EC1,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,2006,データ作成(西村尚之)2ha分,,,,,,,,,,,,,,
#,20080429,1ha分,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,
#,20101116,tag重複多数,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,
#,20110126,2010年度分データの差し替え（2005年分も）,,,,,,,,,,,,,,
#,,note05はデータなし（2005年データと対応させるのが困難なため、元データ参照）,,,,,,,,,,,,,,
#,,"tag_no=nYA795 重複　-1,-2をつけた（-2の方が番号の並びからすると怪しい）-->(50,20)の方がnYA695の間違い",,,,,,,,,,,,,,
#,20110217,西村さんより追加修正（タグNo、座標など）,,,,,,,,,,,,,,
#,20170608,データ確認（日野）,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,50,"aS_633","aS_633",3.6,4.7,"オオシラビソ",NA,NA,22,NA,NA,NA,NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,50,"aS_634","aS_634",3.6,3.9,"オオシラビソ",NA,NA,20.8,NA,NA,NA,NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,50,"aS_635","aS_635",5.9,2.7,"オオシラビソ",NA,NA,17.2,NA,NA,NA,NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,60,"aS_293","nYA27",5.4,1,"シラビソ",21.6,24,26,NA,NA,NA,"20050913","20100831","20150929","nYA27",0,0,0,0,0,0,0,0,0
0,60,"aS_287","nYA26",1.7,2.1,"コメツガ",102.1,114.3,120,NA,"05年測定ミス","生長よいを確認済","20050913","20100831","20150929","nYA26",0,0,0,0,0,0,1,0,0
0,60,"aS_290","nYA28",6.8,3.4,"オオシラビソ",79.5,81.5,83.6,NA,NA,NA,"20050914","20100831","20150929","nYA28",0,0,0,0,0,0,0,0,0
0,60,"aS_294","nYA29",5,8.2,"オオシラビソ",86.8,87.4,87.7,NA,"Gap下",NA,"20050913","20100831","20150929","nYA29",0,0,0,0,0,0,0,0,0
0,60,"aS_291","aS_291",8.2,1,"オオシラビソ",NA,NA,16.7,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,60,"aS_292","aS_292",9.6,1.1,"オオシラビソ",NA,NA,15.8,NA,NA,"新規",NA,NA,"20150929",NA,0,0,0,-1,-1,1,0,0,0
0,70,"aS_414","nYA638",7.2,0.7,"コメツガ",58.2,62,67.2,NA,NA,NA,"20050914","20100831","20150929","nYA638",0,0,0,0,0,0,0,0,0
0,70,"aS_416","nYA30",0.9,1.3,"オオシラビソ",61.6,65.5,70,NA,"Gap下","ギャップ内3層確認済","20050913","20100831","20150929","nYA30",0,0,0,0,0,0,0,0,0
0,70,"nYA639","nYA639",3.8,2,"シラビソ",NA,23,NA,NA,"新規加入","幹折",NA,"20100831","20150929","nYA639",0,0,1,-1,1,0,0,0,0
0,70,"aS_418","nYA636",0.9,2.3,"オオシラビソ",NA,17.9,20.4,NA,"新規加入",NA,NA,"20100831","20150929","nYA636",0,0,0,-1,1,0,0,0,0
0,70,"aS_417","nYA31",0.2,6,"オオシラビソ",72.3,77.3,83.4,NA,"Gap下","ギャップ内3層確認済","20050913","20100831","20150929","nYA31",0,0,0,0,0,0,0,0,0
0,70,"aS_419","nYA637",2.9,6,"シラビソ",NA,20.9,26.4,NA,"新規加入",NA,NA,"20100831","20150929","nYA637",0,0,0,-1,1,0,0,0,0
