#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,杉田久志,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at 御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,,別番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,20090325,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,,"1991,1998,2003年のデータあり",,,,,,,,,,,,,,,,
#,,1991年台風被害をnote91.1として入力,,,,,,,,,,,,,,,,
#,,"gbh1991,1998,2003--> note.gbh91, note.gbh98, note.gbh03",,,,,,,,,,,,,,,,
#,20091224,"Data censused in 1991, 1998, 2003 were excluded because Monitoring Sites 1000 started from 2004.",,,,,,,,,,,,,,,,
#,20101220,イタヤカエデは全てアカイタヤ（杉田さんより）。イタヤカエデ->アカイタヤ,,,,,,,,,,,,,,,,
#,20171211,公開用にデータの体裁整え（日野）,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","memo1","memo2","memo3","新No.","X","X.1","dl08","dl13","rec08","rec13","error08","error13"
10,40,207,"RG390",6.9,9.7,"トチノキ",41.4,40.9,"","→先枯れ土石流皮ハゲ",20081112,20130926,"RG","D","",391,NA,NA,0,0,0,0,0,0
10,40,574,"RG440",6,3.7,"アカイタヤ",166,167.2,"","",20081112,20130926,"RG","E","",440,NA,NA,0,0,0,0,0,0
10,40,576,"RG441",5.2,2.6,"ブナ",43.8,48.9,"","ナンバーはずれ",20081112,20130926,"RG","E","",441,NA,NA,0,0,0,0,0,0
10,40,573,"E573",9.4,3.5,"ホオノキ",NA,NA,"立ち枯れ","",20081112,20130926,"","E","",NA,NA,NA,1,2,-1,-1,0,0
20,40,573.1,"RG447",5.4,0.3,"ミズキ",42,NA,"","→土石流不明",20081112,20130926,"RG","E","E683　WG531",447,NA,NA,0,1,0,0,0,0
30,40,556.1,"RG458",6.1,4.6,"トチノキ",9.9,NA,"","→不明",20081112,20130926,"RG","E","青129　RA710",458,NA,NA,0,1,-1,-1,0,0
40,40,554,"RG459",8.9,4.5,"トチノキ",205.8,206.9,"","",20081112,20130926,"RG","E","",459,NA,NA,0,0,0,0,0,0
40,40,555,"E555",2.8,4.2,"サワグルミ",200.6,NA,"大枝枯れ","→立枯れ",20081112,20130926,"","E","",NA,NA,NA,0,1,0,0,0,0
60,40,171,"RG418",2,7.1,"ブナ",190,195.7,"","",20081112,20130926,"RG","D","",418,NA,NA,0,0,0,0,0,0
70,40,539,"RG469",3.4,2.8,"サワグルミ",192.4,197.7,"","",20081112,20130926,"RG","E","",469,NA,NA,0,0,0,0,0,0
70,40,538,"RG470",7.5,1.5,"ミズキ",59.4,60.1,"","",20081112,20130926,"RG","E","WG529",470,NA,NA,0,0,0,0,0,0
70,40,538.1,"RG472",9.9,1.9,"ツリバナ",NA,22,"立ち枯れ","生きてた",20081112,20130926,"RG","E","RD387　WG527",472,NA,NA,0,0,0,0,1,0
80,40,155.4,"RG438",8.3,6.5,"ハウチワカエデ",21.6,23.5,"","",20081112,20130926,"RG","D","RD389 RD826",438,NA,NA,0,0,0,0,0,0
80,40,155.5,"RG438",7.8,6.4,"ハウチワカエデ",14.7,18.8,"","",20081112,20130926,"RG","D","RD390",439,NA,NA,0,0,-1,1,0,0
80,40,538.2,"RG473",2.4,1.1,"ツリバナ",22.5,24.5,"","",20081112,20130926,"RG","E","RD388　WG528 RD786",473,NA,NA,0,0,0,0,0,0
10,50,209,"RG389",4.7,0.5,"ブナ",235.3,243.4,"","",20081112,20130926,"RG","D","",389,NA,NA,0,0,0,0,0,0
20,50,204,"RG392",0.1,5.1,"ブナ",147.1,150.2,"","",20081112,20130926,"RG","D","",392,NA,NA,0,0,0,0,0,0
20,50,205,"RG392",0.4,5,"ブナ",37.8,39.4,"","",20081112,20130926,"RG","D","",393,NA,NA,0,0,0,0,0,0
20,50,206.1,"RG394",2.9,1.7,"ウワミズザクラ",12.1,14.4,"倒伏","",20081112,20130926,"RG","D","青610　RA711",394,NA,NA,0,0,-1,-1,0,0
20,50,194,"RG395",5,7.3,"ブナ",137.4,144.6,"","隣接木根返り(2009.12)",20081112,20130926,"RG","D","",395,NA,NA,0,0,0,0,0,0
