#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kiso-akasawa (KI-EC1).,,,,,,,,,,
#,SITE NAME,サイト名,木曽,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,KI-EC1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,
#/note,20090421,データ成形（石原）,,,,,,,,,,,
#,,タグNoの重複多数だったので、セルx座標_セルy座標_タグ番号に書き換えた。,,,,,,,,,,,
#,,異なるセルで同株の幹はなかったので、セルx座標_セルy座標_個体番号に書き換えた。,,,,,,,,,,,
#,,100_30_593が２個体あったので、ホオノキを100_30_592に変更,,,,,,,,,,,
#,20091020,"mesh_xcord(Moni1000)=mesh_xcord(origina)-10, mesh_ycord(Moni1000)=mesh_ycord(original)-10",,,,,,,,,,,
#,20171006,公開データのためのエラーチェック（日野）,,,,,,,,,,,
#,,note_13に「G08測定ミス」「G08過大」と書かれている幹個体のgbh08の計測値の前にndを入力,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","新ID","dl08","dl13","rec08","rec13","error08","error13"
0,60,"250","250",6.5,5.1,"アスナロ",16.5,16.5,NA,NA,39685,41508,"nWA76",0,0,0,0,0,0
0,60,"wG2","WG2",4.1,9.2,"ホオノキ",26.5,27.6,NA,NA,39685,41508,"nWA79",0,0,0,0,0,0
0,70,"252","252",6.9,1.3,"タムシバ",34,36,NA,NA,39685,41508,"nWA81",0,0,0,0,0,0
0,70,"54","54",4.4,1.6,"ホオノキ",21.4,20.7,NA,"G08測定ミス",39685,41508,"nWA80",0,0,0,0,1,0
0,70,"253","253",9.7,2.8,"アスナロ",20.1,19.9,NA,"G08測定ミス",39685,41508,"nWA82",0,0,0,0,1,0
0,70,"255","255",6.9,4,"ヒノキ",253.4,270,NA,"G08測定ミス",39685,41508,"nWA84",0,0,0,0,1,0
0,70,"55","55",3.4,4.1,"アスナロ",37.4,37.7,NA,NA,39685,41508,"nWA86",0,0,0,0,0,0
0,70,"259","259",8.9,4.3,"アスナロ",20.6,20.4,NA,NA,39685,41508,"nWA83",0,0,0,0,0,0
0,70,"256","256",6.2,4.4,"アスナロ",17.3,18,NA,NA,39685,41508,"nWA85",0,0,0,0,0,0
0,70,"J291","YJ291",7.8,5.2,"アスナロ",16,16.4,NA,NA,39685,41508,"nWA88",0,0,0,0,0,0
0,70,"60","60",3.3,5.9,"ヒノキ",262.3,266.3,NA,NA,39685,41508,"nWA87",0,0,0,0,0,0
0,70,"258","258",6.3,6.2,"アスナロ",23.4,23.3,NA,NA,39685,41508,"nWA89",0,0,0,0,0,0
0,70,"59","59",1.6,6.8,"ヒノキ",211.6,216.5,NA,NA,39685,41508,"nWA90",0,0,0,0,0,0
0,70,"61","61",3.1,7.5,"アスナロ",62.2,62.6,NA,NA,39685,41508,"nWA91",0,0,0,0,0,0
0,70,"260","260",9.1,7.8,"アスナロ",31.2,31.5,NA,NA,39685,41508,"nWA93",0,0,0,0,0,0
0,70,"62","62",5.1,8.4,"アスナロ",59.1,59.8,NA,NA,39685,41508,"nWA92",0,0,0,0,0,0
0,70,"64","64",2.2,9.7,"アスナロ",20,20.2,NA,NA,39685,41508,"nWA95",0,0,0,0,0,0
0,80,"wG64","WG64",7.1,0.1,"ヒノキ",187.1,190.5,NA,NA,39685,41508,"nWA94",0,0,0,0,0,0
0,80,"65","65",4.5,0.2,"アスナロ",25.2,25.2,"傾く",NA,39685,41508,"nWA96",0,0,0,0,0,0
0,80,"279","279",9.2,0.8,"アスナロ",24.2,24.5,NA,NA,39685,41508,"nWA99",0,0,0,0,0,0
0,80,"66","66",4.6,1.3,"アスナロ",19.3,19.1,NA,NA,39685,41508,"nWA97",0,0,0,0,0,0
0,80,"67","67",4.1,1.8,"アスナロ",21.2,21.3,NA,NA,39685,41508,"nWA98",0,0,0,0,0,0
0,80,"280","280",8.6,2.9,"アスナロ",23.5,23.2,NA,"G08過大",39685,41508,"nWA100",0,0,0,0,1,0
0,80,"J451","YJ451",5.2,3,"シロモジ",20.3,20.2,NA,NA,39685,41508,"nWA101",0,0,0,0,0,0
0,80,"J451","YJ452",5.2,3,"シロモジ",18.3,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,80,"J451","YJ453",5.2,3,"シロモジ",18.7,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,80,"J280","YJ280",3.7,3.1,"シロモジ",17.8,NA,"傾く","立枯",39685,41508,"",0,1,0,0,0,0
