#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,武生　雅明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kannami (KN-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,函南・600,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KN-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord were reformatted.",,,,,,,,,,,,,,,
#,20110307,2010年データの追加,,,,,,,,,,,,,,,
#,20110328,データチェック（鈴木智之）,,,,,,,,,,,,,,,
#,,tag_no=E588、E589はE551とは別種、別区画->indv_noをE588に変更,,,,,,,,,,,,,,,
#,,tag_no=F287はF89とは別種->F86と同株の間違い？とりあえずindv_tag=F287とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=C586はE116とは別種->種名間違い？F121と同株の間違い？とりあえずindv_tag=C586とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=F107はgbh09をnd,,,,,,,,,,,,,,,
#,,tag_no=E906はgbh10をcd,,,,,,,,,,,,,,,
#,,tag_no=E233はgbh10をnd,,,,,,,,,,,,,,,
#,,すでに枯死していた個体を「dd」に,,,,,,,,,,,,,,,
#,20170621,データ確認（日野）,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れ等の枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15からは状態が予測できない個体→「nd」を入力,,,,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
70,0,"F108","F108",NA,NA,"アオキ",16.7,17.5,17.6,NA,"","",20050916,20100918,20150915,"F108","F108",0,0,0,0,0,0,0,0,0
70,0,"F109","F109",NA,NA,"アブラチャン",20.5,21.3,21.3,NA,"","枯死",20050916,20100918,20150915,"F109","F109",0,0,0,0,0,0,0,0,0
70,0,"F111","F110",NA,NA,"イヌガシ",20.5,21.4,22.3,NA,"","",20050916,20100918,20150915,"F111","F110",0,0,0,0,0,0,0,0,0
70,0,"F114","F114",NA,NA,"シロダモ",20.6,21.9,22,NA,"","",20050916,20100918,20150915,"F114","F114",0,0,0,0,0,0,0,0,0
70,0,"F110","F110",NA,NA,"イヌガシ",24.1,29.9,36.4,NA,"","",20050916,20100918,20150915,"F110","F110",0,0,0,0,0,0,0,0,0
70,0,"F107","F107",NA,NA,"ヤマボウシ",106.7,94.8,NA,NA,"","倒木、枯死",20050916,20100918,20150915,"F107","F107",0,0,1,0,0,0,1,0,0
80,0,"F120","F121",NA,NA,"イヌガシ",16,16.8,17.7,NA,"","",20050916,20100918,20150915,"F120","F121",0,0,0,0,0,0,0,0,0
80,0,"F124","F124",NA,NA,"イヌガシ",22.1,22.8,23.2,NA,"","",20050916,20100918,20150915,"F124","F124",0,0,0,0,0,0,0,0,0
80,0,"F118","F118",NA,NA,"イヌガシ",22.4,23.3,24.7,NA,"","",20050916,20100918,20150915,"F118","F118",0,0,0,0,0,0,0,0,0
80,0,"F122","F122",NA,NA,"イヌガシ",22.8,24.3,24.8,NA,"","",20050916,20100918,20150915,"F122","F122",0,0,0,0,0,0,0,0,0
80,0,"F121","F121",NA,NA,"イヌガシ",23.6,24.2,24.7,NA,"","",20050916,20100918,20150915,"F121","F121",0,0,0,0,0,0,0,0,0
80,0,"F139","F139",NA,NA,"イヌガシ",27.2,28.8,29.1,NA,"","倒れている",20050916,20100918,20150915,"F139","F139",0,0,0,0,0,0,0,0,0
80,0,"F117","F117",NA,NA,"イヌガシ",47.6,50.4,51.8,NA,"","",20050916,20100918,20150915,"F117","F117",0,0,0,0,0,0,0,0,0
80,0,"F116","F116",NA,NA,"イヌガシ",51,53.4,54.8,NA,"","",20050916,20100918,20150915,"F116","F116",0,0,0,0,0,0,0,0,0
80,0,"F115","F115",NA,NA,"ヒサカキ",54,59,62.1,NA,"","",20050916,20100918,20150915,"F115","F115",0,0,0,0,0,0,0,0,0
80,0,"F126","F126",NA,NA,"ヤブニッケイ",61.4,66,67.2,NA,"","",20050916,20100918,20150915,"F126","F126",0,0,0,0,0,0,0,0,0
80,0,"F123","F123",NA,NA,"アカガシ",89.6,89.8,90.9,NA,"コブ下で計測","",20050916,20100918,20150915,"F123","F123",0,0,0,0,0,0,0,0,0
80,0,"F125","F125",NA,NA,"イヌガシ",92.3,96.5,99.2,NA,"","",20050916,20100918,20150915,"F125","F125",0,0,0,0,0,0,0,0,0
80,0,"F119","F119",NA,NA,"ウラジロガシ",175.1,181,187.2,NA,"","",20050916,20100918,20150915,"F119","F119",0,0,0,0,0,0,0,0,0
90,0,"F138","F137",NA,NA,"ヒサカキ",15.2,15.6,15.6,NA,"","幹折れ",20050916,20100918,20150915,"F138","F137",0,0,0,-1,-1,-1,0,0,0
90,0,"F130","F129",NA,NA,"イヌガシ",15.9,17.3,18.5,NA,"","枯れ",20050916,20100918,20150915,"F130","F129",0,0,0,0,0,0,0,0,0
90,0,"F136","F137",NA,NA,"ヒサカキ",16.9,17.5,18.5,NA,"","幹折れ",20050916,20100918,20150915,"F136","F137",0,0,0,0,0,0,0,0,0
90,0,"F128","F128",NA,NA,"イヌガシ",22,25,26.4,NA,"","",20050916,20100918,20150915,"F128","F128",0,0,0,0,0,0,0,0,0
90,0,"F135","F135",NA,NA,"シロダモ",24.5,NA,NA,"先折れ","枯れ","",20050916,20100918,20150915,"F135","F135",0,1,2,0,0,0,0,0,0
90,0,"F132","F132",NA,NA,"アカガシ",25.6,25.8,NA,NA,"","立ち枯れ",20050916,20100918,20150915,"F132","F132",0,0,1,0,0,0,0,0,0
90,0,"","XF139",NA,NA,"イヌガシ",27.1,28.8,NA,NA,"","",20050916,20100918,20150915,"XF139","XF139",0,0,0,0,0,0,0,0,1
90,0,"F137","F137",NA,NA,"ヒサカキ",27.9,29.4,31.1,NA,"","幹折れ",20050916,20100918,20150915,"F137","F137",0,0,0,0,0,0,0,0,0
90,0,"F127","F127",NA,NA,"ヤブニッケイ",33.1,34,35.2,NA,"","",20050916,20100918,20150915,"F127","F127",0,0,0,0,0,0,0,0,0
90,0,"F131","F129",NA,NA,"イヌガシ",44.6,46.5,47.3,NA,"","",20050916,20100918,20150915,"F131","F129",0,0,0,0,0,0,0,0,0
90,0,"F134","F134",NA,NA,"イヌガシ",55.7,57.3,58.1,NA,"","",20050916,20100918,20150915,"F134","F134",0,0,0,0,0,0,0,0,0
90,0,"F129","F129",NA,NA,"イヌガシ",63.1,67.1,72.6,NA,"","",20050916,20100918,20150915,"F129","F129",0,0,0,0,0,0,0,0,0
90,0,"F133","F133",NA,NA,"ヒメシャラ",93.3,NA,NA,NA,"枯れ","腐れ",20050916,20100918,20150915,"F133","F133",0,1,2,0,0,0,0,0,0
0,10,"Ｆ33","Ｆ33",NA,NA,"シキミ",15.5,15.9,16.8,NA,"","",20050916,20100919,20150915,"Ｆ33","Ｆ33",0,0,0,-1,1,0,0,0,0
0,10,"Ｆ30","Ｆ30",NA,NA,"シキミ",18.1,19.6,20.9,NA,"","",20050916,20100919,20150915,"Ｆ30","Ｆ30",0,0,0,0,0,0,0,0,0
0,10,"Ｆ31","Ｆ31",NA,NA,"イヌガヤ",36.4,38,39.4,NA,"","",20050916,20100919,20150915,"Ｆ31","Ｆ31",0,0,0,0,0,0,0,0,0
0,10,"Ｆ29","F28",NA,NA,"イヌガシ",47.2,51.7,54.9,NA,"間違い61.0を51.0に修正","",20050916,20100919,20150915,"Ｆ29","F28",0,0,0,0,0,0,0,0,0
0,10,"Ｆ28","F28",NA,NA,"イヌガシ",53.7,55.8,57,NA,"","",20050916,20100919,20150915,"Ｆ28","F28",0,0,0,0,0,0,0,0,0
0,10,"Ｆ32","Ｆ32",NA,NA,"ヒメシャラ",178.8,179.8,181.6,NA,"","ペンキやり直す(消えた)",20050916,20100919,20150915,"Ｆ32","Ｆ32",0,0,0,0,0,0,0,0,0
