#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kaname Gawa (KK-DB1).,,,,,,,,,,,
#,SITE NAME,サイト名,金目川（小国町金目川在所平ブナ林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,KK-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,,,,,,,,,,,,,
#/log,20070501,Data of 2006 was arranged.,,,,,,,,,,,,
#,20171030,データ確認（日野貴文）,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れとうの枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh10","gbh15","note10","note15","s_date10","s_date15","tag_no10","indv_no10","dl10","dl15","rec10","rec15","error10","error15"
10,10,50057,50056,10,7,"コハウチワカエデ",17.5,19.5,"","",20100818,20150902,50057,50056,0,0,0,0,0,0
10,10,50058,50058,5.8,4.8,"コシアブラ",21.5,24.5,"","",20100818,20150902,50058,50058,0,0,0,0,0,0
10,20,50053,50051,5.2,0.2,"ブナ",95.3,95.3,"微害","",20100818,20150902,50053,50051,0,0,0,0,0,0
10,20,50060,50060,9.5,5.3,"コシアブラ",23,26.3,"","",20100818,20150902,50060,50060,0,0,0,0,0,0
10,30,15122,15122,9.2,1.4,"コシアブラ",NA,15.3,"","",NA,20150902,NA,NA,0,0,-1,-1,0,0
10,30,10275,10275,4.2,0.6,"ブナ",181.5,190.7,"タグ消失、10275に変更、中害","タグ消失15121へ変更",20100818,20150902,10275,10275,0,0,0,0,0,0
10,30,50062,50062,2.8,6.5,"ホオノキ",187.4,187.9,"","幹折れ",20100818,20150902,50062,50062,0,0,0,0,0,0
10,30,50064,50062,3,9.2,"ブナ",188.5,189,"微害","",20100818,20150902,50064,50062,0,0,0,0,0,0
10,40,15123,15123,0,0.7,"ハウチワカエデ",NA,16.5,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,40,15124,15124,2,5.4,"コシアブラ",NA,18.9,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,40,50065,50065,3.1,1.8,"ブナ",264.5,NA,"大害","立ち枯れ",20100818,20150902,50065,50065,0,1,0,0,0,0
10,50,15125,15125,0.8,3.2,"タムシバ",NA,17.1,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,50,15126,15126,2,9.8,"テツカエデ",NA,16.6,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,50,50066,50066,0.2,0.8,"コシアブラ",20.1,NA,"倒木下","消失",20100818,20150902,50066,50066,0,1,0,0,0,0
10,50,50067,50067,2.6,6.4,"ブナ",223.7,224.1,"つるこみ、中害","",20100818,20150902,50067,50067,0,0,0,0,0,0
10,60,15127,10274,8.8,7.6,"ウワミズザクラ",NA,17.5,"","萌芽(10274より）",NA,20150902,NA,NA,0,0,-1,1,0,0
10,60,15128,15128,7,2.7,"コシアブラ",NA,21,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,60,15129,15129,4.6,5.6,"コシアブラ",NA,20.2,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,60,15130,15130,3.4,3.8,"ハリギリ",NA,16.5,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,60,15131,15131,0.6,1.6,"トチノキ",NA,16.2,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,60,10274,10274,8.8,7.6,"ウワミズザクラ",20.1,28.5,"","",20100818,20150902,10274,10274,0,0,0,0,0,0
10,60,50069,50069,8.8,7.6,"ウワミズザクラ",32.9,38.9,"","",20100818,20150902,50069,50069,0,0,0,0,0,0
10,70,10273,10273,5,5,"テツカエデ",15.5,15.2,"","座標修正(7.4,1.0)",20100818,20150902,10273,10273,0,0,-1,-1,0,0
10,70,50070,50070,0.2,1.1,"テツカエデ",23.8,26.8,"","",20100818,20150902,50070,50070,0,0,0,0,0,0
10,70,50072,10272,6.1,6.2,"テツカエデ",23.6,22.2,"50071のタグ変更に伴いIndｖv_noを変更","",20100818,20150902,50072,10272,0,0,0,0,0,0
10,70,50073,50073,7.8,3.6,"コシアブラ",43,40.3,"","座標修正(9.4,2.4)タグ付け替え(15132)",20100818,20150902,50073,50073,0,0,0,0,0,0
10,70,50074,50074,7.7,3.6,"オオバクロモジ",15,NA,"","萌芽(生存）",20100818,20150902,50074,50074,0,1,-1,-1,0,0
10,70,50075,50075,7.7,3.8,"テツカエデ",22.4,26.8,"","座標修正(9.9,2.6)",20100818,20150902,50075,50075,0,0,0,0,0,0
10,70,50076,50076,6.7,2.8,"テツカエデ",19.9,NA,"","lost",20100818,20150902,50076,50076,0,1,0,0,0,0
10,80,15134,15134,8,7,"ミズキ",NA,17.1,"","",NA,20150902,NA,NA,0,0,-1,1,0,0
10,80,10269,10269,6.9,8.3,"ヤマグワ",15.6,16.6,"","タグ交換(15133)",20100818,20150902,10269,10269,0,0,-1,1,0,0
10,80,10271,10271,2,1,"テツカエデ",17.7,20.7,"","座標入れ替え(3.0,1.0)",20100818,20150902,10271,10271,0,0,0,0,0,0
10,80,50077,50077,2.6,0.6,"テツカエデ",35.5,40,"","",20100818,20150902,50077,50077,0,0,0,0,0,0
10,80,50078,50077,3,1,"テツカエデ",22.9,23.2,"","座標入れ替え(2.0,1.0)",20100818,20150902,50078,50077,0,0,0,0,0,0
10,80,50079,50077,2.6,0.6,"テツカエデ",26.5,27.6,"","",20100818,20150902,50079,50077,0,0,0,0,0,0
10,80,50080,50080,0.9,9.5,"アカイタヤ",38.4,29.1,"","座標位置変更(0.9,6.5)",20100818,20150902,50080,50080,0,0,0,0,0,0
10,80,50081,50081,1,6.7,"アカイタヤ",60.4,60.7,"","座標位置変更(1.0,9.5)",20100818,20150902,50081,50081,0,0,0,0,0,0
10,80,50082,50081,1,9.5,"アカイタヤ",18.8,18.9,"座標違い（1.0,9.5）","",20100818,20150902,50082,50081,0,0,0,0,0,0
10,80,50083,50083,6.9,9.3,"ミズキ",19.9,NA,"","lost",20100818,20150902,50083,50083,0,1,0,0,0,0
10,80,50084,50084,7.7,10,"テツカエデ",41.2,41.5,"","",20100818,20150902,50084,50084,0,0,0,0,0,0
10,80,50085,50085,8,8,"ミズキ",24,NA,"","",20100818,20150902,50085,50085,0,1,0,0,0,0
10,80,50086,50085,8,8,"ミズキ",26.5,NA,"","",20100818,20150902,50086,50085,0,1,0,0,0,0
10,80,50087,50087,8,8,"ミズキ",27.1,21.2,"","倒伏",20100818,20150902,50087,50087,0,0,0,0,0,0
10,80,50089,50089,9.3,3.8,"テツカエデ",73.3,NA,"","倒木による",20100818,20150902,50089,50089,0,1,0,0,0,0
10,80,50099,50099,9.6,4.9,"ミズキ",17.5,NA,"","lost",20100818,20150902,50099,50099,0,1,0,0,0,0
10,90,15135,15135,9.4,4.8,"ブナ",NA,16.2,"","",NA,20150903,NA,NA,0,0,-1,1,0,0
10,90,15136,15135,9.4,4.8,"ブナ",NA,16.2,"","",NA,20150903,NA,NA,0,0,-1,1,0,0
10,90,15137,15137,9.4,9.2,"イタヤカエデ",NA,24.4,"","",NA,20150903,NA,NA,0,0,-1,1,0,0
10,90,10266,10267,3.4,4.4,"ブナ",20.9,19.4,"","座標変更(4.2,8.0)　倒木のため測定位置変更",20100818,20150903,10266,10267,0,0,0,0,0,0
10,90,10267,10267,3.4,4.4,"ブナ",25.8,21.5,"","座標変更(4.2,8.0)　倒木のため測定位置変更",20100818,20150903,10267,10267,0,0,0,0,0,0
10,90,10268,10268,0.5,1.8,"オオバクロモジ",16.4,NA,"","lost",20100818,20150903,10268,10268,0,1,0,0,0,0
10,90,10270,10270,0.5,0.5,"ウワミズザクラ",15.5,16.2,"","",20100818,20150903,10270,10270,0,0,-1,1,0,0
10,90,50090,50090,3.3,1.2,"テツカエデ",20.8,NA,"","倒木によるつる込",20100818,20150903,50090,50090,0,1,0,0,0,0
10,90,50091,50091,10,7,"ハリギリ",323.3,331.2,"つるこみ","",20100818,20150903,50091,50091,0,0,0,0,0,0
10,90,50092,50092,8.9,6.2,"ブナ",19,23,"微害","プロット外(20,90)座標変更",20100818,20150903,50092,50092,0,0,0,0,0,0
10,90,50093,50093,9.8,9.3,"トチノキ",25.6,27.5,"","倒木による　座標変更(11,9.6)",20100818,20150903,50093,50093,0,0,0,0,0,0
10,90,50094,50094,6.4,4.4,"テツカエデ",32.7,NA,"","倒木による",20100818,20150903,50094,50094,0,1,0,0,0,0
10,90,50095,50095,8.6,4.2,"イタヤカエデ",81.8,90.5,"","",20100818,20150903,50095,50095,0,0,0,0,0,0
10,90,50096,50095,9,4,"イタヤカエデ",32.5,38.1,"","",20100818,20150903,50096,50095,0,0,0,0,0,0
10,90,50097,50097,9.2,4,"イタヤカエデ",17.4,20.5,"","",20100818,20150903,50097,50097,0,0,0,0,0,0
10,90,50098,50098,9.7,0.6,"テツカエデ",50.1,57.6,"","",20100818,20150903,50098,50098,0,0,0,0,0,0
20,0,15151,50201,4.2,1.4,"ホオノキ",NA,16,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
20,0,15152,15152,4.2,1,"ホオノキ",NA,16.4,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
20,0,15153,15153,1,5.5,"ホオノキ",NA,16.1,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
20,0,10340,10340,0.8,5,"テツカエデ",15.9,18.8,"","",20100818,20150901,10340,10340,0,0,0,0,0,0
20,0,10341,10341,0.7,2.8,"イタヤカエデ",15.5,NA,"","sd タグ回収",20100818,20150901,10341,10341,0,1,-1,-1,0,0
20,0,10342,10342,4.2,0.8,"コハウチワカエデ",15.4,16.8,"","",20100818,20150901,10342,10342,0,0,-1,1,0,0
20,0,50201,50201,4.5,0.8,"ホオノキ",105,105.4,"","",20100818,20150901,50201,50201,0,0,0,0,0,0
20,0,50202,50202,4.5,0.8,"ホオノキ",20.4,21.3,"","",20100818,20150901,50202,50202,0,0,0,0,0,0
20,0,50203,50203,4,1.4,"ホオノキ",23.7,NA,"","sd タグ回収",20100818,20150901,50203,50203,0,1,0,0,0,0
20,0,50204,50204,4.5,0.8,"ホオノキ",21.3,NA,"","sd タグ回収",20100818,20150901,50204,50204,0,1,0,0,0,0
20,0,50205,50205,4.5,3.8,"コハウチワカエデ",25.4,26.1,"","",20100818,20150901,50205,50205,0,0,0,0,0,0
20,0,50206,50206,4.2,4,"ブナ",220.6,235.5,"大害","",20100818,20150901,50206,50206,0,0,0,0,0,0
20,0,50207,50207,3.5,4.2,"コハウチワカエデ",20.7,21.7,"","",20100818,20150901,50207,50207,0,0,0,0,0,0
20,0,50208,50207,3.5,4.2,"コハウチワカエデ",21.8,21.3,"","",20100818,20150901,50208,50207,0,0,0,0,0,0
20,0,50209,50209,4.2,3,"コハウチワカエデ",16.7,21.5,"","",20100818,20150901,50209,50209,0,0,0,0,0,0
20,10,50210,50210,4.4,2,"タムシバ",20.4,20.8,"","",20100818,20150901,50210,50210,0,0,0,0,0,0
20,10,50211,50211,1.5,3.5,"コシアブラ",20.3,22.9,"","",20100818,20150901,50211,50211,0,0,0,0,0,0
20,10,50212,50212,5,4.2,"タムシバ",16.1,NA,"","sd タグ回収",20100818,20150901,50212,50212,0,1,0,0,0,0
20,10,50213,50213,3,6,"コシアブラ",18.4,20.4,"","",20100818,20150901,50213,50213,0,0,0,0,0,0
20,10,50215,50215,2.5,9,"ハウチワカエデ",20.2,22.9,"","",20100818,20150901,50215,50215,0,0,0,0,0,0
