#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tsushima-Mt. Tatera　(TT-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,対馬龍良山,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TT-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,20080715,シイノキ＞スダジイへ,,,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,,,
#,,"セル(50,90)内でW150重複-> -1 -2をつけた",,,,,,,,,,,,,,,,
#,20130108,データ成形（佐伯）,,,,,,,,,,,,,,,,
#,20180202,データ成形（日野）,,,,,,,,,,,,,,,,
#,,new_tag_naに値のある幹は、tag_noにその内容を移動させ、tag_noに入っていたタグ番号はold_tag_noに移動,,,,,,,,,,,,,,,,
#,,スダシイ→スダジイに修正,,,,,,,,,,,,,,,,
#,,new_tag_naにnWC368が二つあったので、この2個体についてはタグ番号の更新をせず、サイトに問い合わせして修正,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"tag_no","indv_no","mesh_xcord","mesh_ycord","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","gbh17","note07","note12","note17","s_date07","s_date12","s_date17","memo_20180201","old_tag_no","new_tag_na","dl07","dl12","dl17","rec07","rec12","rec17","error07","error12","error17"
"nYA322","nYA322",0,60,7.5,2.4,"サカキ",59.8,60.3,61.3,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA323","nYA323",0,60,8.8,3.9,"イスノキ",29.7,32.1,NA,"","","立枯","20071122","20121111","20171009","","","",0,0,1,0,0,0,0,0,0
"nWC577","nYA324",0,60,6.6,3.4,"イスノキ",17,17.8,18,"","","","20071122","20121111","20171009","","nYA324","nWC577",0,0,0,0,0,0,0,0,0
"nYA163","nYA163",0,70,3.6,9.8,"サカキ",54.3,54.9,55.6,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA164","nYA164",0,70,0.5,6.4,"スダジイ",120,123,125.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC578","nYA170",0,70,4,5,"サカキ",50.4,52.4,54.1,"","","","20071122","20121111","20171009","","nYA170","nWC578",0,0,0,0,0,0,0,0,0
"nYA328","nYA328",0,70,9.8,0.2,"イスノキ",90.2,92.9,97.2,"","","上に抜ける、上に出ている","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA329","nYA328",0,70,9.8,0.2,"イスノキ",19.5,23.5,26.7,"YA328の萌芽","","","20071123","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC579","nYA330",0,70,6.8,4.6,"イスノキ",20.6,20.8,21.1,"","","","20071122","20121111","20171009","","nYA330","nWC579",0,0,0,0,0,0,0,0,0
"nYA331","nYA331",0,70,9.5,5.6,"イスノキ",61,63.7,65.4,"","林冠出る","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA334","nYA334",0,70,7.2,6.5,"ヤブツバキ",23,23,23.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA335","nYA335",0,70,7.1,8.2,"サカキ",67.7,69,69.3,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA336","nYA336",0,70,6.9,8.3,"イスノキ",24.7,24.7,24.7,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA174","nYA174",0,80,3,4.2,"スダジイ",28.4,NA,NA,"","サカキに倒されて、直撃、倒木落枝下","","20071123","20121111",NA,"","","",0,1,2,0,0,0,0,0,0
"nYA344","nYA344",0,80,7,4,"タブノキ",30.2,NA,NA,"","胸高で枯れ、萌芽あり、虫による立枯","","20071122","20121111",NA,"","","",0,1,2,0,0,0,0,0,0
"nYA351","nYA351",0,80,7.8,8.6,"ヒメコウゾ",32,NA,NA,"","幹折れ","","20071122","20121111",NA,"","","",0,1,2,0,0,0,0,0,0
"dY_3002","dY_3002",0,80,4,4.5,"ヤブツバキ",14.8,14.9,15.4,"","","低木データより移行",NA,"20121113","20171009","","","",0,0,0,-1,-1,-1,0,0,0
"nWC329","nWC329",0,80,0.9,1.5,"タブノキ",15,15,14.9,"低木データより移行, 番号付替必要","付けた","縮む","20071221","20121111","20171009","","","",0,0,0,-1,-1,-1,0,0,0
"nYA172","nYA172",0,80,2.6,1,"イヌマキ",25.7,25.7,25.8,"","","","20071123","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA173","nYA173",0,80,3,3.2,"クロバイ",86.4,94.4,100.5,"ツル込み測定","","上に出ている","20071123","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA175","nYA175",0,80,2.2,7.7,"イスノキ",194.4,194.7,193.7,"","","縮む？，測定位置が定まらず","20071123","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA176","nYA176",0,80,2,5,"ネズミモチ",23.7,24.3,24.6,"測定位置変更(コブ下)","","","20071123","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA194","nYA194",0,80,1.3,2.5,"サカキ",55.8,55.7,NA,"","根から倒れ斜めになるが生存","根返り枯死","20071123","20121111","20171009","","","",0,0,1,0,0,0,0,0,0
